temp_mid,humedad_media,humedad_sd,n
7.651188299817185,84.29725776965265,5.076893336111525,547
10.112857142857143,83.1808163265306,5.022033186684278,490
11.215655577299412,82.59373776908024,5.704233027591077,511
12.129401408450704,81.0725352112676,6.74682125809668,568
12.954124748490946,79.92132796780685,8.079458462013264,497
13.931163708086785,77.96568047337279,9.371770625900917,507
15.150936329588015,69.54887640449438,9.708410535865962,534
16.282254697286014,63.49331941544885,9.652282950425906,479
17.318929254302102,57.71204588910134,8.385128016909412,523
18.36441005802708,54.42127659574468,7.904706913630679,517
19.689981447124303,49.29090909090909,7.335606681127071,539
21.839270386266094,41.85708154506438,7.55808498686042,466
