,z_env_PM2.5,z_env_PM10,z_env_NO2,z_env_CO,z_env_O3,Shannon_Index,Indice_Contaminacion_Z
z_env_PM2.5,1.0,0.8124326695937196,0.453278667905437,0.47240990732471244,0.016469126420614676,0.009943828078577846,0.8530837198390784
z_env_PM10,0.8124326695937196,1.0,0.48980877584832233,0.4719046237516268,0.017897512584480205,-0.020144450322615304,0.8646828034979438
z_env_NO2,0.453278667905437,0.48980877584832233,1.0,0.6725688003298236,-0.3272476056120418,0.08725358833505206,0.7087094234404101
z_env_CO,0.47240990732471244,0.4719046237516268,0.6725688003298236,1.0,-0.3663661735408454,0.08632425609917692,0.6969746095954146
z_env_O3,0.016469126420614676,0.017897512584480205,-0.3272476056120418,-0.3663661735408454,1.0,-0.2969403598720015,0.10552956267584626
Shannon_Index,0.009943828078577846,-0.020144450322615304,0.08725358833505206,0.08632425609917692,-0.2969403598720015,1.0,-0.04136387737226445
Indice_Contaminacion_Z,0.8530837198390784,0.8646828034979438,0.7087094234404101,0.6969746095954146,0.10552956267584626,-0.04136387737226445,1.0
