,Shannon_Index,Shannon_Index,Shannon_Index,Shannon_Index,Riqueza_Especies,Riqueza_Especies,Riqueza_Especies,Riqueza_Especies,Distance_to_Station_km,Distance_to_Station_km,Distance_to_Station_km,Distance_to_Station_km,PM2.5,PM2.5,PM2.5,PM2.5,PM10,PM10,PM10,PM10,NO2,NO2,NO2,NO2,CO,CO,CO,CO,O3,O3,O3,O3,Temperatura,Temperatura,Temperatura,Temperatura,Humedad,Humedad,Humedad,Humedad,Viento,Viento,Viento,Viento,Lluvia,Lluvia,Lluvia,Lluvia,Radiacion_Solar,Radiacion_Solar,Radiacion_Solar,Radiacion_Solar,Precipitacion,Precipitacion,Precipitacion,Precipitacion
,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std
Diversidad_Grupo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta_Q3,1760,2.8225575262825475,2.776043850811168,0.20648442300450812,1760,24.539204545454545,23.0,7.029592888062228,1760,1.9214865334198348,1.9217572273695953,1.0018170050002109,1760,15.144829545454547,13.0,10.85779947879909,1760,28.85625,26.0,16.335671811593784,1760,15.268920454545453,14.7,7.465654919828386,1760,0.6168295454545454,0.54,0.38908860495199354,1760,7.215511363636363,2.7,10.063030085254834,1760,12.887784090909092,12.3,3.7553363477432167,1760,75.46607954545453,81.0,14.165062131519344,1760,0.9776704545454545,0.8,0.7356790588158924,1760,0.04318181818181818,0.0,0.20332397241608607,1760,125.03806818181818,34.0,184.68866978429506,1760,0.017102272727272726,0.0,0.158222110545398
Baja_Q1,1075,1.0282671174277824,1.1773699448656585,0.43160535326068067,1075,4.846511627906977,4.0,2.74992371971481,1075,1.8973453223674221,2.0308263474479946,0.8441278046102821,1075,14.851906976744186,12.2,11.146497959050423,1075,29.490511627906976,25.1,18.90557895102822,1075,13.309302325581395,11.9,9.123458364543398,1075,0.5252186046511628,0.39,0.42031492984362084,1075,17.282418604651163,15.4,13.408868827474906,1075,16.80474418604651,17.3,3.6519306652062937,1075,61.229674418604645,59.0,16.14941303353748,1075,1.6765581395348836,1.5,1.0072221812761255,1075,0.06697674418604652,0.0,0.2500980709291851,1075,289.86883720930234,247.0,240.45937667428004,1075,0.05758139534883721,0.0,0.45850712292880436
