,PC1,PC2,PC3
PM2.5,0.24402184701196997,0.8390502720922104,-0.3944822230941885
PM10,0.19386336869740214,0.8785861487450056,-0.29436649069332455
NO2,0.5581033361520278,0.5807331188574953,0.43162100236767353
CO,0.5895444741338342,0.564289512477285,0.39441663675709593
O3,-0.8456590060272788,0.2321370341407453,-0.06652750893962919
Temperatura,-0.859758157554343,0.31513695149748483,0.18430693998129682
Humedad,0.8918275620934489,-0.21151879259266354,-0.10145128766152577
Viento,-0.6831518013564519,0.11603050810469484,0.02750286335553067
Radiacion_Solar,-0.8101126970110356,0.3662453946776428,0.1340808717381146
