,pearson_with_shannon
Riqueza_Especies,0.8460503426537344
Temperatura,-0.3503625215200551
Humedad,0.31823928110932886
O3,-0.29694035987200246
Viento,-0.2760284576887968
Radiacion_Solar,-0.27286146785947163
NO2,0.08725358833505219
CO,0.08632425609917703
Distance_to_Station_km,0.026452074758168066
PM10,-0.020144450322615363
PM2.5,0.009943828078577872
