,count,mean,std,min,max,raw_variable
z_env_Temperatura,6178.0,-1.2421271521866433e-16,1.0000809421669543,-2.8420446774716615,2.9920614493573368,Temperatura
z_env_Humedad,6178.0,1.7021742455891038e-16,1.0000809421669543,-3.5284800529721405,1.9184395364080291,Humedad
