term,variable,raw_variable,raw_mean,raw_std_used_for_z,coef_per_1_original_unit,ci_low_per_1_original_unit,ci_high_per_1_original_unit,p_value,robust_hc3_coef_per_1_original_unit,robust_hc3_ci_low_per_1_original_unit,robust_hc3_ci_high_per_1_original_unit,robust_hc3_p_value,standardized_coef_per_1_sd
z_reg_PM2.5,PM2.5,PM2.5,14.854643261608153,11.042772044009673,0.003722721229117537,0.001504708659161955,0.0059407337990731186,0.0010071340241155035,0.003722721229117537,0.0014626433432924938,0.00598279911494258,0.001249294572912987,0.04110916191654047
z_reg_PM10,PM10,PM10,28.336711966779923,17.384669580242406,-0.001191630493540662,-0.002617459556586152,0.00023419856950482798,0.10139641347812818,-0.001191630493540662,-0.002678969545382744,0.0002957085583014194,0.11632402365861548,-0.020716102391945594
z_reg_NO2,NO2,NO2,14.213118157795396,8.245286907607081,-0.002836339959442666,-0.005218191827194605,-0.0004544880916907268,0.019607601663729195,-0.002836339959442666,-0.0053347103975310405,-0.00033796952135429164,0.026082360442782303,-0.023386436733115416
z_reg_CO,CO,CO,0.5914061910154774,0.4049451360470693,-0.07237543475918969,-0.12148086595109998,-0.023270003567279377,0.003875352344697743,-0.07237543475918969,-0.12343878165928793,-0.02131208785909143,0.005478277800804936,-0.029308080275025853
z_reg_O3,O3,O3,10.910815402038505,11.732913814054784,-0.0026903526777548046,-0.0047815204286461984,-0.0005991849268634105,0.011693712272653489,-0.0026903526777548046,-0.004996349911430754,-0.0003843554440788551,0.022225385166261623,-0.03156567609750863
z_reg_Temperatura,Temperatura,Temperatura,14.47076255190638,4.019323397497081,-0.019909305669192443,-0.027306330605137655,-0.012512280733247233,1.369231077432051e-07,-0.019909305669192443,-0.027291732370330613,-0.012526878968054274,1.2938027431513628e-07,-0.08002193810410646
z_reg_Humedad,Humedad,Humedad,69.55415251038129,15.970184172150516,0.005587611695620342,0.00362348366461217,0.0075517397266285135,2.5679400524457218e-08,0.005587611695620342,0.003594007538449873,0.007581215852790811,4.0997015352765083e-08,0.08923518786151909
z_reg_Viento,Viento,Viento,1.2542091355228389,0.8909650029709548,-0.05582193155733196,-0.07533210171121295,-0.03631176140345096,2.137457395149622e-08,-0.05582193155733196,-0.07568943104217699,-0.03595443207248693,3.796773888212216e-08,-0.0497353874158227
z_reg_Lluvia,Lluvia,Lluvia,0.050585126462816155,0.21914897089321925,-0.1151505824890963,-0.17859106271436195,-0.051710102263830694,0.000376484398625867,-0.1151505824890963,-0.17967507166408947,-0.05062609331410314,0.0004716343565623941,-0.02523513165024021
z_reg_Radiacion_Solar,Radiacion_Solar,Radiacion_Solar,199.37297093242734,215.52759631516625,0.00012672949937407872,9.477240714021064e-06,0.00024398175803413635,0.03414807666066107,0.00012672949937407872,8.393045182168454e-06,0.00024506595356598896,0.03582404583246192,0.027313704382319552
z_reg_DURATION MINUTES,Duracion,DURATION MINUTES,107.32578331445829,85.27607299541249,0.0026436379745563153,0.002468628317061229,0.0028186476320514013,1.9024586774739e-178,0.0026436379745563153,0.002324163607243988,0.0029631123418686423,8.561372012208667e-58,0.22543906489170876
z_reg_EFFORT DISTANCE KM,Distancia,EFFORT DISTANCE KM,1.8298825972064932,2.814986716527656,-0.0203513769369076,-0.02542904161926196,-0.015273712254553243,4.718398389855159e-15,-0.0203513769369076,-0.028359707277853675,-0.012343046595961527,6.495167970504782e-07,-0.05728885574044219
