variable,scale,column,n,mean,std,skew,kurtosis_excess,shapiro_p_sample_max_5000,dagostino_p,normal_by_dagostino_0_05,normal_by_shapiro_0_05
PM2.5,raw_primary,PM2.5,6178,14.681709291032698,10.970622747830514,1.2271686487649762,1.733847607702021,3.340399069413505e-49,6.194350350078186e-268,False,False
PM2.5,z_env_raw_primary,z_env_PM2.5,6178,-1.1961224428463973e-16,1.0,1.2271686487649764,1.7338476077020202,3.340399069412981e-49,6.19435035007748e-268,False,False
PM2.5,log1p_auxiliary,log1p_PM2_5,6178,2.4964137275821567,0.7543713716315316,-0.3695025160862999,-0.20840140590472345,2.1939322942084324e-24,1.978308110262092e-32,False,False
PM10,raw_primary,PM10,6178,28.192165749433475,17.398024398354224,1.1356994816589392,1.8159170813324907,9.882842469665229e-45,1.1116043874054153e-248,False,False
PM10,z_env_raw_primary,z_env_PM10,6178,-1.840188373609842e-17,0.9999999999999999,1.1356994816589392,1.8159170813324916,9.882842469665229e-45,1.1116043874052881e-248,False,False
PM10,log1p_auxiliary,log1p_PM10,6178,3.1879263369188577,0.6403428475087657,-0.43733253988494386,-0.09957294135029349,1.4937825237371597e-21,1.2988333451586438e-40,False,False
NO2,raw_primary,NO2,6178,14.167270961476206,8.329238618144016,1.00791348267632,1.9095474854776393,3.974413442480884e-40,3.3355311534794154e-221,False,False
NO2,z_env_raw_primary,z_env_NO2,6178,3.910400293920914e-17,1.0,1.00791348267632,1.9095474854776375,3.974413442480884e-40,3.3355311534797953e-221,False,False
NO2,log1p_auxiliary,log1p_NO2,6178,2.5517485444105446,0.6171462190771132,-0.6352883062286483,0.16055681751558293,1.8991533761728829e-31,1.7149214871841214e-78,False,False
CO,raw_primary,CO,6178,0.5822045969569439,0.4023221630961071,1.6024071111102753,3.636970129083439,1.4805564873917396e-53,0.0,False,False
CO,z_env_raw_primary,z_env_CO,6178,1.6561695362488577e-16,1.0,1.6024071111102742,3.636970129083439,1.4805564873917396e-53,0.0,False,False
CO,log1p_auxiliary,log1p_CO,6178,0.43113701087193707,0.2277941046104265,0.853393840159886,0.545374978636314,9.621580081061911e-39,6.700520905033949e-136,False,False
O3,raw_primary,O3,6178,11.463434768533507,12.016609377229878,1.4229329929118493,2.428049698793833,1.3862549252472125e-56,0.0,False,False
O3,z_env_raw_primary,z_env_O3,6178,-4.3704473873233745e-17,1.0,1.4229329929118488,2.4280496987938323,1.3862549252472125e-56,0.0,False,False
O3,log1p_auxiliary,log1p_O3,6178,1.9935870374102318,1.102235698827974,-0.10129981265191464,-1.2622342350127926,8.111909895047487e-39,0.0,False,False
Temperatura,raw_primary,Temperatura,6178,14.64786338620913,4.028037798615246,0.032145365956047355,-0.6237817446872036,9.178125596477523e-18,1.0795828202649359e-49,False,False
Temperatura,z_env_raw_primary,z_env_Temperatura,6178,-1.2421271521866433e-16,0.9999999999999999,0.03214536595604788,-0.6237817446872045,9.178125596445535e-18,1.0795828202644404e-49,False,False
Temperatura,log1p_auxiliary,Temperatura,6178,14.64786338620913,4.028037798615246,0.032145365956047355,-0.6237817446872036,9.178125596477523e-18,1.0795828202649359e-49,False,False
Humedad,raw_primary,Humedad,6178,69.00584331498867,16.155920526451894,-0.46630820614528373,-0.8133680873276043,7.293509694993936e-40,9.907239643731065e-166,False,False
Humedad,z_env_raw_primary,z_env_Humedad,6178,1.7021742455891038e-16,0.9999999999999999,-0.4663082061452843,-0.8133680873276039,7.293509694991539e-40,9.907239643736145e-166,False,False
Humedad,log1p_auxiliary,Humedad,6178,69.00584331498867,16.155920526451894,-0.46630820614528373,-0.8133680873276043,7.293509694993936e-40,9.907239643731065e-166,False,False
Viento,raw_primary,Viento,6178,1.2828585302686955,0.907173911687571,1.1555053486354485,1.2724678665774025,3.1795418880324955e-47,1.298302733127518e-233,False,False
Viento,z_env_raw_primary,z_env_Viento,6178,-8.165835907893673e-17,0.9999999999999998,1.155505348635449,1.2724678665774052,3.179541888032813e-47,1.2983027331270745e-233,False,False
Viento,log1p_auxiliary,Viento,6178,1.2828585302686955,0.907173911687571,1.1555053486354485,1.2724678665774025,3.1795418880324955e-47,1.298302733127518e-233,False,False
Lluvia,raw_primary,Lluvia,6178,0.054872126901910005,0.22773049113188748,3.910200870750478,13.29397439487834,1.2227159275448819e-89,0.0,False,False
Lluvia,z_env_raw_primary,z_env_Lluvia,6178,2.6452707870641477e-17,1.0,3.910200870750479,13.29397439487834,1.2227159275448819e-89,0.0,False,False
Radiacion_Solar,raw_primary,Radiacion_Solar,6178,204.6638070573001,219.58591903402007,1.0695329382761063,0.3709729412487026,2.971262984037336e-55,3.500828839018175e-182,False,False
Radiacion_Solar,z_env_raw_primary,z_env_Radiacion_Solar,6178,2.5302590137135326e-17,1.0,1.069532938276106,0.3709729412487026,2.9712629840374203e-55,3.500828839018973e-182,False,False
Radiacion_Solar,log1p_auxiliary,log1p_Radiacion_Solar,6178,4.053615404807212,2.1895410696934117,-0.7183684731439702,-0.935242122525672,6.781433674691948e-55,0.0,False,False
Precipitacion,raw_auxiliary,Precipitacion,6178,0.028892845581094204,0.25478668645487423,19.828267708205686,577.6260710509969,1.0039941316798624e-93,0.0,False,False
Precipitacion,log1p_auxiliary,log1p_Precipitacion,6178,0.018072489238333742,0.11487253193248094,9.953809365308736,123.47743922954452,3.5251183237328924e-92,0.0,False,False
