sample,n,p,mardia_skewness,skew_chi2,skew_df,skew_p_value,mardia_kurtosis,expected_kurtosis,kurtosis_z,kurtosis_p_value,normal_skew_0_05,normal_kurtosis_0_05
Completa,6178,9,22.661530180873445,23333.822242906026,165.0,0.0,136.74039729741418,99,105.40660581822314,0.0,False,False
Baja_Q1,1075,9,20.42047258844921,3658.668005430484,165.0,0.0,127.80191514412275,99,33.55544540378114,7.498351339718619e-247,False,False
Alta_Q3,1760,9,31.39229200075833,9208.405653555777,165.0,0.0,152.60995659369914,99,79.91700480954957,0.0,False,False
