SAMPLING EVENT IDENTIFIER,Diversidad_Grupo,Shannon_Index,PC1,Factor1,PC2,Factor2,PC3,Factor3
S78660871,Alta_Q3,2.7839476259136995,1.630914400068359,1.8776832842286253,2.558096223892415,-0.20452745574668396,-0.09852509739693227,0.6204437738856056
S63557571,Alta_Q3,2.8277694908237336,-0.3012721732321564,-0.7708278836619707,-1.6431054517232777,-0.35892830326897746,0.175020153614689,-0.5506806457095619
S63569682,Alta_Q3,2.8277694908237336,-0.3012721732321564,-0.7708278836619707,-1.6431054517232777,-0.35892830326897746,0.175020153614689,-0.5506806457095619
S63017782,Media_Q2_Q3,1.9459101490553135,-4.322151985327055,1.016642951472082,2.091555446221496,1.6513077541851813,-0.16135299840331818,-0.8713355266757412
S64327396,Alta_Q3,2.5594290587503203,0.3578358662132897,-0.001406135153788467,0.8934143183430255,0.21459155755121084,1.5732369013872958,1.1948321726972995
S63432327,Alta_Q3,2.556016787844337,1.3732625859770724,0.05585494159011252,-0.15841555364159188,-0.582607279571819,0.2723933800261339,0.270561661597125
S63344266,Media_Q2_Q3,1.7068622404907527,-2.6529371919131592,-0.8020842254136367,-0.705128358390355,1.0889392056837768,0.7122327777834858,-0.3243236950149112
S63992320,Media_Q2_Q3,2.4891886239620313,1.7388331428843524,0.09754311645834503,-0.21676492294075994,-0.7369547112962537,0.5429658606123254,0.3511693157680443
S63661774,Alta_Q3,2.556016787844337,1.3732625859770724,0.05585494159011252,-0.15841555364159188,-0.582607279571819,0.2723933800261339,0.270561661597125
S69313496,Alta_Q3,2.556016787844337,1.3732625859770724,0.05585494159011252,-0.15841555364159188,-0.582607279571819,0.2723933800261339,0.270561661597125
S63821304,Alta_Q3,2.628602211212423,1.0365911419566145,-1.0421965881404358,-2.091904579897264,-0.8031251557022441,0.0681897413451247,-0.20607693542773087
S63838032,Alta_Q3,2.880431883556713,1.064368811537294,-0.7289637277777767,-1.3432265810147632,-0.5785178486181316,0.3174685153138603,0.1323966323064039
S63804613,Media_Q2_Q3,2.046150195728425,1.0365911419566145,-1.0421965881404358,-2.091904579897264,-0.8031251557022441,0.0681897413451247,-0.20607693542773087
S63855614,Alta_Q3,2.628602211212423,1.0365911419566145,-1.0421965881404358,-2.091904579897264,-0.8031251557022441,0.0681897413451247,-0.20607693542773087
S63800258,Alta_Q3,2.628602211212423,1.0365911419566145,-1.0421965881404358,-2.091904579897264,-0.8031251557022441,0.0681897413451247,-0.20607693542773087
S63941037,Alta_Q3,2.628602211212423,1.0365911419566145,-1.0421965881404358,-2.091904579897264,-0.8031251557022441,0.0681897413451247,-0.20607693542773087
