,Factor1,Factor2,Factor3
PM2.5,0.9701747098541817,0.0006375357902394557,0.12127732854786749
PM10,0.8019488175359754,0.09180079622399662,0.2805817699080206
NO2,0.379658501007028,-0.21580800558758548,0.7108934415948946
CO,0.40487177900984717,-0.25630930314753364,0.6465434505141064
O3,0.04898478578402989,0.7883297094497665,-0.2764803874206278
Temperatura,-0.003220081698244194,0.9261865556202982,-0.050512812113406226
Humedad,0.058282554358734966,-0.9055457296911847,0.17612224185494463
Viento,-0.05966611459592683,0.5641067728072117,-0.18056666406647665
Radiacion_Solar,0.0648491205188169,0.8635331846239431,-0.05955321863657412
