term,variable,vif
z_reg_Temperatura,Temperatura,3.64524844722457
z_reg_PM10,PM10,3.3179094130062454
z_reg_PM2.5,PM2.5,3.2163999833982917
z_reg_Radiacion_Solar,Radiacion_Solar,3.190077974660974
z_reg_O3,O3,2.813533644085154
z_reg_CO,CO,2.1376957509704373
z_reg_NO2,NO2,2.0416308161077263
z_reg_Viento,Viento,1.6075001497927235
z_reg_DURATION MINUTES,Duracion,1.2043002821410793
z_reg_EFFORT DISTANCE KM,Distancia,1.1048100282409132
z_reg_Lluvia,Lluvia,1.0127914083065799
